ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.7200000000000003e+01
0.0000000000000000e+00 6.7200000000000003e+01
0.0000000000000000e+00 6.7200000000000003e+01
ITEM: ATOMS id x y z
1 0.0568505 0.0220314 0.0504575
2 1.68734 1.71563 1.71267
3 0.0551904 67.1781 3.42246
4 1.73183 1.70817 5.11224
5 0.0400391 67.185 6.67966
6 1.7666 1.69545 8.22117
7 0.0488087 67.1766 10.0056
8 1.68941 1.66067 11.7771
9 0.0791375 67.1109 13.4605
10 1.74343 1.68297 15.1244
11 0.0569458 67.1741 16.827
12 1.69873 1.72299 18.4698
13 0.0587053 67.1972 20.1351
14 1.78219 1.723 21.899
15 0.0487067 0.0072366 23.5065
16 1.69959 1.71371 25.1729
17 67.1998 0.0634504 26.9305
18 1.67696 1.70963 28.5751
19 0.0236368 0.0306657 30.2662
20 1.75768 1.66586 31.9502
21 67.1715 67.1938 33.5962
22 1.71008 1.63633 35.2908
23 67.1912 0.0497597 37.022
24 1.7175 1.67949 38.6638
25 67.1968 0.00355023 40.3558
26 1.6856 1.71815 41.9856
27 67.1219 67.1837 43.6425
28 1.72671 1.65726 45.2878
29 67.1587 0.0472404 47.0252
30 1.66766 1.65397 48.7402
31 0.00905652 67.1858 50.3779
32 1.67633 1.67356 52.0328
33 0.0589391 67.1644 53.7806
34 1.66703 1.66434 55.4838
35 0.0298076 67.1883 57.1464
36 1.64328 1.6994 58.7959
37 67.1869 0.0498121 60.4134
38 1.6899 1.6908 62.1691
39 0.0197054 0.0242329 63.8482
40 1.66611 1.65408 65.5441
41 0.0103605 3.29793 0.0626635
42 1.66567 5.03534 1.66553
43 67.1843 3.34571 3.36501
44 1.67012 4.98756 5.01872
45 0.03533 3.34289 6.64484
46 1.70781 4.99218 8.26483
47 0.0559678 3.36128 9.92292
48 1.66273 5.0096 11.7996
49 67.1539 3.38758 13.6006
50 1.67401 5.06812 15.1653
51 67.1889 3.38029 16.7747
52 1.61991 5.13722 18.5022
53 0.0310971 3.40612 20.1928
54 1.70997 5.11464 21.811
55 0.0727227 3.43257 23.3878
56 1.69126 5.07225 25.1851
57 0.0416284 3.38689 26.9645
58 1.66081 5.06963 28.6123
59 0.0411469 3.35105 30.2822
60 1.68086 5.07818 31.8614
61 0.00412581 3.4469 33.6032
62 1.71269 5.09579 35.3423
63 0.0401077 3.35724 36.966
64 1.7757 5.04211 38.6866
65 0.0596133 3.39784 40.3344
66 1.71148 4.96808 41.9491
