ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.8200000000000003e+01
0.0000000000000000e+00 6.8200000000000003e+01
0.0000000000000000e+00 6.8200000000000003e+01
ITEM: ATOMS id x y z
1 68.1665 0.0148729 0.0143173
2 1.68873 1.67343 1.71392
3 68.1734 0.00821008 3.31808
4 1.63597 1.68221 5.12213
5 68.1903 0.061304 6.85095
6 1.60136 1.72855 8.60008
7 68.0372 0.0131655 10.2804
8 1.58686 1.67186 11.8712
9 68.1134 68.1956 13.6092
10 1.62501 1.72689 15.3474
11 68.1248 0.0697992 17.0759
12 1.71681 1.70335 18.7337
13 0.00590356 0.000262348 20.4608
14 1.77345 1.72118 22.2204
15 68.1505 0.0634531 23.8814
16 1.73081 1.69131 25.6198
17 0.0627982 0.0246783 27.2262
18 1.68059 1.72375 28.9733
19 0.0401841 68.1249 30.7486
20 1.65416 1.77103 32.4524
21 68.1743 68.0196 34.0599
22 1.66919 1.7387 35.7339
23 0.0187592 68.1494 37.4593
24 1.66474 1.69508 39.1548
25 68.163 0.00459339 40.9078
26 1.75042 1.69547 42.5462
27 0.0189171 68.1531 44.2688
28 1.66346 1.60089 46.0196
29 68.1957 68.1734 47.7295
30 1.7888 1.70072 49.4398
31 68.1871 0.0367694 51.192
32 1.72929 1.67468 52.8961
33 68.1833 68.1897 54.5434
34 1.74502 1.76522 56.2755
35 0.00994443 0.032419 58.019
36 1.75846 1.83682 59.6829
37 68.1977 0.080486 61.3788
38 1.70612 1.77803 63.0763
39 68.146 68.1626 64.8304
40 1.73415 1.66107 66.5379
41 68.1977 3.4319 0.0077979
42 1.70613 5.09312 1.76884
43 68.1599 3.43299 3.41442
44 1.66586 5.09987 5.124
45 68.1351 3.50482 6.8178
46 1.64983 5.11589 8.58089
47 68.0163 3.48748 10.2286
48 1.69893 5.19204 11.9266
49 68.1745 3.50016 13.6088
50 1.63799 5.1982 15.3715
51 68.1686 3.44 17.0496
52 1.66649 5.18569 18.755
53 68.193 3.4152 20.4484
54 1.75705 5.09837 22.1278
55 68.1682 3.31922 23.8801
56 1.73029 5.00813 25.6535
57 0.00677062 3.35538 27.3446
58 1.69236 5.07758 29.0163
59 68.1959 3.46269 30.7485
60 1.75765 5.08962 32.4063
61 68.1734 3.56086 34.0602
62 1.70629 5.08778 35.7848
63 68.1393 3.38454 37.4853
64 1.68262 5.09121 39.1269
65 0.0153947 3.39326 40.8418
66 1.72404 5.10307 42.5451
