ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.6799999999999997e+01
0.0000000000000000e+00 6.6799999999999997e+01
0.0000000000000000e+00 6.6799999999999997e+01
ITEM: ATOMS id x y z
1 0.0415308 0.0350092 66.7551
2 1.70631 1.69749 1.60687
3 0.069397 0.0513843 3.26674
4 1.7688 1.73119 4.90285
5 66.7612 0.0302656 6.56559
6 1.64142 1.68682 8.37388
7 66.7854 0.0419015 10.165
8 1.65606 1.75375 11.7545
9 0.0324916 0.0151581 13.3493
10 1.69401 1.74015 15.0055
11 0.0766447 66.7431 16.7252
12 1.67023 1.70616 18.4163
13 0.0285907 66.7635 20.1177
14 1.67264 1.66785 21.7741
15 0.0473448 66.7552 23.4298
16 1.74543 1.67712 25.0671
17 66.7476 66.7481 26.7314
18 1.70312 1.65326 28.3614
19 66.7749 66.7391 30.0337
20 1.67881 1.67831 31.6479
21 0.0489143 66.7829 33.4095
22 1.67715 1.71178 35.1574
23 66.7655 66.7162 36.8048
24 1.70849 1.71338 38.3746
25 66.7528 66.7497 39.9363
26 1.67857 1.64822 41.7275
27 66.7916 0.0549337 43.4678
28 1.74824 1.63076 45.0763
29 0.0131561 0.0234286 46.7757
30 1.74948 1.65777 48.4607
31 66.7921 0.028764 50.1191
32 1.73091 1.67722 51.7398
33 66.7852 0.0998599 53.3713
34 1.70776 1.66932 55.0964
35 66.7417 0.116855 56.7252
36 1.68795 1.66597 58.4819
37 0.0193701 66.7344 60.147
38 1.67477 1.67323 61.801
39 0.0397333 66.7586 63.4059
40 1.7479 1.6548 65.026
41 0.0480863 3.40684 66.7184
42 1.74963 5.05249 1.5567
43 0.0892458 3.39584 3.28069
44 1.71194 5.03441 5.01148
45 0.0515521 3.40917 6.64138
46 1.6612 5.03901 8.37771
47 66.7842 3.41067 10.0938
48 1.69501 5.0322 11.7895
49 66.7878 3.41183 13.3624
50 1.64812 5.06875 15.0377
51 66.7952 3.46436 16.7062
52 1.62063 5.11428 18.3868
53 0.0177208 3.37853 20.0854
54 1.65542 4.98968 21.7535
55 0.0394697 3.30636 23.4217
56 1.66152 4.94698 25.0025
57 0.0388673 3.36708 26.7276
58 1.67379 4.97606 28.4345
59 66.7698 3.33107 29.9955
60 1.6086 5.03087 31.6608
61 66.7859 3.31699 33.3856
62 1.59816 5.07731 35.0563
63 0.0412766 3.44873 36.797
64 1.68246 5.06734 38.3785
65 0.0410486 3.38422 40.0636
66 1.7361 5.00851 41.7803
