ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.8400000000000006e+01
0.0000000000000000e+00 6.8400000000000006e+01
0.0000000000000000e+00 6.8400000000000006e+01
ITEM: ATOMS id x y z
1 68.385 0.0142253 68.387
2 1.58383 1.6842 1.69326
3 0.0120234 0.0118519 3.49048
4 1.66804 1.66252 5.17097
5 0.059626 68.3742 6.73827
6 1.75125 1.70476 8.51241
7 0.110411 0.0739706 10.3391
8 1.77192 1.82763 12.0654
9 0.0741548 0.0164641 13.5687
10 1.71616 1.76166 15.3025
11 0.136723 68.37 17.1149
12 1.70946 1.65963 18.7709
13 0.0621003 68.3697 20.5582
14 1.6759 1.72595 22.3127
15 68.2608 68.3454 23.9882
16 1.61219 1.64498 25.6255
17 0.00390093 68.3787 27.3613
18 1.6505 1.62443 29.0512
19 0.0620078 68.2898 30.7841
20 1.72389 1.69665 32.507
21 0.0550398 68.3602 34.1469
22 1.75886 1.71916 35.9367
23 68.3729 0.0123613 37.7105
24 1.82032 1.70571 39.3117
25 68.3717 68.3799 41.0442
26 1.8064 1.74053 42.7543
27 0.00879812 68.3353 44.374
28 1.71576 1.72216 46.1378
29 68.3356 68.3573 47.8664
30 1.66963 1.69903 49.5567
31 68.3567 0.0270256 51.339
32 1.72863 1.74809 53.0376
33 0.0708795 0.055034 54.7275
34 1.79465 1.72643 56.5113
35 68.3903 0.0266777 58.1859
36 1.74141 1.73752 59.872
37 68.3282 0.117413 61.5152
38 1.70384 1.72403 63.1718
39 68.3626 0.0427578 64.9807
40 1.64562 1.72069 66.6922
41 68.2882 3.46352 0.00860056
42 1.60781 5.11574 1.7044
43 68.3298 3.4086 3.47402
44 1.73711 5.06186 5.18078
45 68.3438 3.44911 6.79989
46 1.782 5.12344 8.60549
47 0.0072382 3.37358 10.2546
48 1.76095 5.07937 11.9798
49 68.269 3.44118 13.5953
50 1.71331 5.11556 15.2724
51 0.0276058 3.43928 17.09
52 1.64127 5.23498 18.8405
53 0.00436542 3.42645 20.4768
54 1.68612 5.07747 22.2479
55 68.3984 3.34368 24.0378
56 1.72436 5.11226 25.6879
57 68.3871 3.38034 27.3926
58 1.7486 5.16853 29.0947
59 68.3744 3.47731 30.7668
60 1.75876 5.11684 32.5297
61 0.0386658 3.48355 34.1827
62 1.76688 5.15378 35.9323
63 0.0147857 3.4406 37.6243
64 1.75674 5.11784 39.1237
65 0.0181418 3.45501 40.9754
66 1.76808 5.1059 42.8207
