ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.6799999999999997e+01
0.0000000000000000e+00 6.6799999999999997e+01
0.0000000000000000e+00 6.6799999999999997e+01
ITEM: ATOMS id x y z
1 66.7239 66.7876 66.7926
2 1.60691 1.51557 1.66233
3 66.7449 0.0124408 3.37386
4 1.64891 1.68473 5.07535
5 66.7936 66.7621 6.73848
6 1.69108 1.75416 8.39005
7 0.0660225 66.7917 10.0445
8 1.69109 1.68509 11.7526
9 0.0403527 66.783 13.4325
10 1.63978 1.62489 15.0629
11 66.7713 66.759 16.7081
12 1.61871 1.58857 18.417
13 0.00790968 66.6915 20.0319
14 1.6127 1.60565 21.6729
15 0.0208025 66.7446 23.3947
16 1.66141 1.59572 25.0227
17 0.0243859 66.6892 26.736
18 1.6822 1.62845 28.4525
19 66.7922 66.7731 30.0214
20 1.75202 1.63467 31.7261
21 0.00394932 66.7567 33.405
22 1.68646 1.703 35.0477
23 66.795 0.028235 36.7717
24 1.6906 1.72984 38.3989
25 0.0116542 0.227827 40.0862
26 1.65826 1.75674 41.6934
27 0.0396691 0.0481848 43.2919
28 1.69863 1.64224 45.0486
29 0.0120824 66.7771 46.7689
30 1.68579 1.68031 48.3919
31 66.7742 0.00669614 50.1239
32 1.70855 1.71498 51.825
33 66.7541 66.7881 53.3845
34 1.64397 1.71617 55.0278
35 0.0306172 0.0525452 56.7869
36 1.589 1.63405 58.5258
37 66.7258 0.000314192 60.1735
38 1.61038 1.69732 61.7592
39 0.0469117 0.0134717 63.4549
40 1.61421 1.60535 65.1521
41 66.79 3.2559 66.758
42 1.63864 5.01304 1.64884
43 66.7381 3.27154 3.32978
44 1.69684 5.0291 5.00739
45 0.00671053 3.4452 6.71394
46 1.68805 5.04905 8.36308
47 66.7886 3.44099 10.048
48 1.67811 5.02634 11.7526
49 66.7632 3.33026 13.4285
50 1.63525 4.97819 15.0345
51 66.7473 3.2532 16.7531
52 1.58368 4.91487 18.3734
53 66.7555 3.34757 20.0307
54 1.6502 5.03261 21.7619
55 66.7703 3.36647 23.3893
56 1.65806 5.06581 24.9885
57 0.0296984 3.37088 26.7118
58 1.70363 5.05008 28.434
59 0.0387404 3.37338 30.1376
60 1.73928 5.07545 31.8023
61 0.000160253 3.39424 33.3583
62 1.65249 5.02909 35.1046
63 66.7736 3.36206 36.8019
64 1.65011 5.0624 38.4253
65 0.0225425 3.38597 40.0716
66 1.62102 5.03438 41.6869
67 66.7921 3.36749 43.3484
