ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.8600000000000009e+01
0.0000000000000000e+00 6.8600000000000009e+01
0.0000000000000000e+00 6.8600000000000009e+01
ITEM: ATOMS id x y z
1 68.5604 68.5695 0.00693847
2 1.69346 1.72427 1.69537
3 0.0550558 0.0221059 3.37232
4 1.76781 1.69288 5.14552
5 68.557 68.5608 6.86659
6 1.68382 1.67152 8.64235
7 0.015538 68.5075 10.4049
8 1.70729 1.65382 12.018
9 68.5765 68.5234 13.657
10 1.60646 1.63987 15.4162
11 68.5922 68.5443 17.1961
12 1.64778 1.68603 18.8558
13 68.5385 68.5887 20.6123
14 1.6745 1.56437 22.2473
15 68.5499 68.5512 23.9949
16 1.67174 1.64153 25.7304
17 68.5057 68.5555 27.4013
18 1.66626 1.67032 29.1345
19 68.5532 68.5082 30.8721
20 1.79006 1.72009 32.5596
21 68.5855 68.5853 34.3111
22 1.78893 1.70171 36.0619
23 68.5886 0.00620822 37.7069
24 1.77849 1.70483 39.4318
25 0.0506187 0.074981 41.1475
26 1.80015 1.74617 42.8676
27 0.0316779 68.587 44.5887
28 1.86577 1.80657 46.2916
29 0.135276 0.189644 48.02
30 1.87859 1.82799 49.7895
31 0.00181159 68.5476 51.4918
32 1.84931 1.73951 53.1055
33 0.0250267 0.0321859 54.8979
34 1.77741 1.77297 56.6443
35 0.0596307 68.5177 58.3241
36 1.80363 1.71416 60.002
37 68.5876 68.5613 61.7922
38 1.71934 1.7018 63.4527
39 68.5337 68.55 65.1238
40 1.67015 1.67729 66.8239
41 0.0248091 3.37056 0.0504471
42 1.69745 5.18319 1.6077
43 0.0211978 3.51436 3.45553
44 1.76728 5.16647 5.20253
45 68.5431 3.41006 6.84012
46 1.62764 5.19539 8.66419
47 0.0427703 3.33157 10.3412
48 1.58562 5.19249 11.9746
49 68.5776 3.39134 13.6849
50 1.67035 5.18452 15.4507
51 68.5729 3.49959 17.1734
52 1.62787 5.16948 18.8836
53 68.5564 3.42383 20.5738
54 1.67477 5.23445 22.2756
55 68.5557 3.35181 23.996
56 1.66697 5.12394 25.6774
57 68.5181 3.3885 27.45
58 1.71457 5.11712 29.1878
59 0.051929 3.4151 30.9244
60 1.79358 5.08167 32.5514
61 0.0252183 3.42194 34.2927
62 1.7685 5.12126 36.0627
63 0.0526047 3.46669 37.7742
64 1.78431 5.15861 39.4872
65 0.0557939 3.46207 41.1571
66 1.79817 5.15718 42.8844
67 0.10139 3.4314 44.541
