ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.8799999999999997e+01
0.0000000000000000e+00 6.8799999999999997e+01
0.0000000000000000e+00 6.8799999999999997e+01
ITEM: ATOMS id x y z
1 0.0331991 68.7021 68.7972
2 1.8248 1.65741 1.74237
3 0.0284468 68.7944 3.48155
4 1.70369 1.72075 5.13261
5 68.7358 0.0545567 6.84969
6 1.69381 1.61894 8.61198
7 68.7604 68.7487 10.3134
8 1.71373 1.62758 12.059
9 68.7414 68.7268 13.7348
10 1.72918 1.65928 15.4485
11 68.7056 68.7721 17.2272
12 1.62463 1.62265 18.9997
13 68.7983 68.7331 20.6816
14 1.66 1.72521 22.3777
15 0.00678972 68.7705 24.0274
16 1.66345 1.70718 25.7255
17 68.7516 0.017114 27.4759
18 1.69419 1.70968 29.2137
19 68.782 68.7354 30.9594
20 1.64187 1.7103 32.7258
21 68.7692 68.7553 34.3687
22 1.65017 1.76397 36.0847
23 68.7714 68.7919 37.8666
24 1.66304 1.78389 39.5848
25 68.7716 0.0752662 41.2907
26 1.70012 1.73083 43.0227
27 68.7397 68.7798 44.6346
28 1.70338 1.81551 46.378
29 0.0300024 0.00447135 48.19
30 1.7648 1.70882 49.9152
31 0.0451216 68.6758 51.6599
32 1.74849 1.74911 53.3516
33 0.0375041 68.6654 54.8741
34 1.67237 1.67587 56.5623
35 0.0738661 0.0480975 58.497
36 1.67617 1.77552 60.2569
37 0.00562718 68.7628 61.9832
38 1.70435 1.62102 63.7366
39 68.7965 68.6764 65.4602
40 1.71294 1.65444 67.1613
41 68.7596 3.36446 0.115583
42 1.70908 5.13761 1.74631
43 68.7337 3.41603 3.44872
44 1.69718 5.15662 5.11369
45 68.7213 3.37202 6.90916
46 1.70665 5.22862 8.59997
47 68.766 3.4795 10.3358
48 1.69199 5.27088 12.016
49 0.0484191 3.5539 13.7206
50 1.65829 5.24113 15.585
51 0.0219576 3.41146 17.2666
52 1.70095 5.26922 18.9401
53 68.7537 3.37975 20.7079
54 1.59303 5.16705 22.358
55 68.678 3.35034 24.0417
56 1.59261 5.2249 25.6752
57 68.7703 3.42871 27.4065
58 1.69358 5.1641 29.2577
59 0.00508474 3.44276 31.0392
60 1.7187 5.11488 32.7061
61 0.0261497 3.49825 34.3659
62 1.74351 5.12606 36.0692
63 68.6959 3.47949 37.8174
64 1.70525 5.20547 39.6004
65 68.7804 3.40432 41.3331
66 1.74285 5.16314 42.9846
67 0.0846029 3.52067 44.6631
