ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.7200000000000003e+01
0.0000000000000000e+00 6.7200000000000003e+01
0.0000000000000000e+00 6.7200000000000003e+01
ITEM: ATOMS id x y z
1 67.1118 67.145 67.1397
2 1.67332 1.66712 1.70261
3 67.1548 67.1809 3.41063
4 1.68119 1.70116 5.01522
5 0.014434 67.1929 6.71917
6 1.68477 1.71509 8.34211
7 0.0492548 67.1925 10.0366
8 1.80195 1.64235 11.7186
9 0.000321531 67.1931 13.3938
10 1.70198 1.52842 15.1759
11 0.0340049 67.1135 16.8549
12 1.62038 1.68461 18.5241
13 67.1403 0.00512362 20.2295
14 1.65121 1.71519 21.8392
15 67.1726 0.122491 23.4487
16 1.7061 1.66533 25.2064
17 0.0309149 0.0344163 26.9279
18 1.69895 1.60562 28.5101
19 0.0631676 0.0687622 30.2564
20 1.66252 1.71248 32.028
21 0.0144117 0.012544 33.7095
22 1.66965 1.708 35.2886
23 67.1619 67.1072 36.9795
24 1.69343 1.66646 38.5925
25 67.1729 0.00289313 40.2902
26 1.61934 1.74443 41.9701
27 67.1194 0.0872036 43.6369
28 1.59734 1.67935 45.3495
29 67.1918 0.0543997 47.0152
30 1.63441 1.675 48.6388
31 67.1727 0.058906 50.3563
32 1.64045 1.79668 52.0652
33 67.1652 0.0953243 53.6938
34 1.62948 1.69642 55.4576
35 0.0321265 0.0437313 57.154
36 1.70144 1.69231 58.8092
37 0.0312632 67.1888 60.4056
38 1.64666 1.58689 62.1273
39 67.1851 0.0104036 63.9391
40 1.65043 1.66298 65.6486
41 67.1703 3.39605 67.1978
42 1.69165 4.99044 1.69113
43 0.00432002 3.3501 3.35049
44 1.74569 4.95732 4.98414
45 0.0153926 3.30637 6.72823
46 1.72319 4.95041 8.32844
47 0.0116621 3.36307 10.088
48 1.74154 5.05795 11.7256
49 0.0790607 3.31818 13.4688
50 1.65936 5.07848 15.1555
51 67.1895 3.33977 16.7999
52 1.60935 5.04856 18.5112
53 67.0897 3.37047 20.1862
54 1.51898 5.04097 21.8147
55 67.1568 3.32446 23.5614
56 1.62317 5.0503 25.1873
57 0.02432 3.36363 26.8378
58 1.61065 5.01636 28.615
59 0.0373309 3.31604 30.2561
60 1.65275 5.01831 31.9564
61 67.1993 3.34367 33.6303
62 1.65087 4.99704 35.2844
63 67.1988 3.34718 36.9323
64 1.6442 5.0147 38.6693
65 67.1641 3.33229 40.3359
66 1.58539 5.04966 41.9957
