ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.7599999999999994e+01
0.0000000000000000e+00 6.7599999999999994e+01
0.0000000000000000e+00 6.7599999999999994e+01
ITEM: ATOMS id x y z
1 0.00780126 67.5887 0.0446924
2 1.69356 1.62607 1.77516
3 0.013483 0.0113194 3.39737
4 1.66771 1.68605 5.05233
5 0.0269066 0.0281328 6.72657
6 1.68788 1.651 8.39448
7 0.109329 0.0695774 10.1239
8 1.7435 1.65602 11.9115
9 0.0214468 67.569 13.5523
10 1.74712 1.72455 15.1451
11 0.0632254 67.5708 16.8694
12 1.6692 1.72276 18.5845
13 0.106575 0.0236972 20.2814
14 1.75956 1.77325 21.9073
15 0.146417 67.553 23.5762
16 1.71381 1.69226 25.3684
17 0.0469625 67.5113 26.9954
18 1.7211 1.71765 28.6315
19 0.0210633 67.5658 30.3867
20 1.7078 1.67311 32.1203
21 0.0473574 67.5457 33.8978
22 1.78924 1.59864 35.6681
23 0.00646444 67.5509 37.2435
24 1.70365 1.60235 38.8208
25 67.5359 67.5837 40.5861
26 1.62918 1.63848 42.238
27 67.535 67.5842 43.9283
28 1.6103 1.67439 45.5946
29 67.5547 0.0408292 47.1994
30 1.61539 1.72084 48.8886
31 0.0660526 0.0476642 50.724
32 1.80243 1.72689 52.4597
33 0.0386177 0.0164263 54.0805
34 1.79208 1.67459 55.7884
35 0.00522591 0.0192451 57.4888
36 1.82158 1.73498 59.1736
37 0.0582541 67.5799 60.783
38 1.76274 1.65313 62.5408
39 0.0380121 67.5613 64.2615
40 1.73716 1.56017 65.8736
41 0.0661379 3.30685 67.5916
42 1.74026 4.93285 1.76319
43 0.0280842 3.28821 3.38561
44 1.68469 4.95269 5.13044
45 0.0750409 3.2891 6.74103
46 1.67065 5.03845 8.43273
47 0.0996747 3.35071 10.1666
48 1.72025 5.03618 11.8813
49 0.0858743 3.31373 13.5334
50 1.71689 5.11738 15.1978
51 0.0590896 3.42743 16.889
52 1.72973 5.11507 18.5724
53 0.0522856 3.4423 20.2716
54 1.74861 5.09358 21.9341
55 0.0620636 3.44042 23.6437
56 1.67828 5.13853 25.3079
57 0.0462696 3.46565 26.9767
58 1.70841 5.04688 28.6725
59 0.0269234 3.44984 30.4626
60 1.6717 5.15434 32.1493
61 0.0603395 3.35786 33.8462
62 1.72497 5.12855 35.5715
63 0.0140481 3.36143 37.2604
64 1.79632 5.09047 38.917
65 67.5275 3.37058 40.5314
66 1.69814 5.1098 42.1971
