ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.7200000000000003e+01
0.0000000000000000e+00 6.7200000000000003e+01
0.0000000000000000e+00 6.7200000000000003e+01
ITEM: ATOMS id x y z
1 0.0458214 0.00374968 0.0748097
2 1.71084 1.72789 1.69929
3 0.00773857 67.1326 3.21116
4 1.61375 1.71138 5.00303
5 67.1301 67.1629 6.65152
6 1.57343 1.68594 8.40813
7 0.00130701 0.0509886 10.2026
8 1.65016 1.7634 11.7352
9 67.1901 0.0367225 13.4353
10 1.66857 1.73034 15.1098
11 67.1509 0.0850436 16.817
12 1.69039 1.71689 18.4772
13 67.12 0.0677392 20.0592
14 1.6428 1.67339 21.7789
15 67.1798 0.00418509 23.6329
16 1.70015 1.62964 25.3032
17 67.1741 67.1695 26.9045
18 1.65613 1.72083 28.4978
19 0.0455933 0.0525849 30.168
20 1.75535 1.74337 31.8526
21 0.0557875 0.0386123 33.6017
22 1.66039 1.70319 35.3348
23 0.0220229 0.0649508 37.0248
24 1.69966 1.75556 38.6079
25 67.1748 0.0300999 40.2862
26 1.65952 1.75008 42.0643
27 0.0340776 67.178 43.7097
28 1.68466 1.66372 45.3836
29 0.0371417 67.1881 47.0498
30 1.65639 1.59026 48.7581
31 0.000831036 0.00511929 50.4026
32 1.65903 1.65441 52.0409
33 0.0148548 0.0346068 53.7656
34 1.70635 1.69788 55.4512
35 0.0344276 0.0290148 57.1267
36 1.71897 1.78435 58.8687
37 0.0185152 0.037555 60.474
38 1.69663 1.71896 62.1543
39 0.0561989 0.0104026 63.8967
40 1.72002 1.75606 65.583
41 0.112163 3.40839 0.0598689
42 1.74372 5.10584 1.64351
43 0.0231179 3.43333 3.24545
44 1.65359 5.05339 5.0198
45 67.1472 3.4373 6.71261
46 1.67719 4.98683 8.41653
47 67.1576 3.36937 10.1298
48 1.71979 4.98459 11.6999
49 67.1447 3.3788 13.3954
50 1.6851 5.04875 15.1047
51 67.1444 3.33021 16.8011
52 1.71384 5.03351 18.4885
53 67.1762 3.3965 20.1192
54 1.69891 5.02873 21.7801
55 67.186 3.32946 23.492
56 1.6517 5.04371 25.1848
57 0.00666329 3.3238 26.9216
58 1.62385 4.94854 28.5545
59 0.0203198 3.35492 30.1801
60 1.70844 4.99446 31.8484
61 0.0321445 3.38598 33.645
62 1.74064 5.04971 35.4531
63 67.1942 3.30659 36.9979
64 1.73013 5.13438 38.6756
65 0.0137397 3.3769 40.3049
66 1.70625 5.04992 41.9665
