ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.9000000000000000e+01
0.0000000000000000e+00 6.9000000000000000e+01
0.0000000000000000e+00 6.9000000000000000e+01
ITEM: ATOMS id x y z
1 0.0449167 68.9605 68.9764
2 1.71088 1.7855 1.69399
3 0.0275838 68.9695 3.46494
4 1.7737 1.74026 5.18941
5 0.00520807 0.00710643 6.89409
6 1.73423 1.6991 8.64535
7 0.0122451 68.9982 10.3228
8 1.72001 1.70459 12.0264
9 0.0471104 0.0467016 13.6943
10 1.85595 1.72792 15.5512
11 0.0401428 0.0521067 17.2616
12 1.74774 1.79564 18.9979
13 0.0594284 0.102517 20.6654
14 1.78923 1.76173 22.3881
15 0.0363854 0.084958 24.1472
16 1.79035 1.76209 25.8989
17 0.0456582 0.00696916 27.5754
18 1.75228 1.70803 29.3211
19 68.9676 68.965 31.0276
20 1.73449 1.67109 32.7487
21 0.0925288 68.9135 34.5751
22 1.73315 1.71583 36.244
23 0.035142 68.9595 37.9688
24 1.65711 1.74039 39.7948
25 0.000593887 0.0487256 41.4441
26 1.66285 1.7458 43.1216
27 0.0314149 0.000393444 44.8614
28 1.71472 1.87128 46.5762
29 68.9899 0.0710884 48.2911
30 1.74263 1.826 50.0048
31 68.9527 68.8917 51.7691
32 1.76404 1.74408 53.4113
33 0.0334603 68.9179 55.0626
34 1.74782 1.73006 56.8857
35 0.0197607 0.0498854 58.7176
36 1.73482 1.84827 60.4341
37 68.9752 0.00409886 62.1025
38 1.70815 1.74149 63.8205
39 68.9258 68.9782 65.5819
40 1.73687 1.72661 67.2802
41 68.9877 3.45567 68.9675
42 1.71678 5.23424 1.71505
43 0.0343254 3.54516 3.48446
44 1.70512 5.28643 5.21698
45 0.0185616 3.51799 6.93
46 1.77937 5.25232 8.60582
47 68.9872 3.45582 10.3331
48 1.83051 5.22265 12.0941
49 0.0842579 3.4774 13.8421
50 1.83704 5.20406 15.51
51 0.124874 3.50773 17.298
52 1.80847 5.17524 19.0252
53 0.0412387 3.51018 20.7219
54 1.77549 5.23672 22.3999
55 68.9959 3.55284 24.1701
56 1.77542 5.15671 25.8415
57 0.000499358 3.46813 27.5781
58 1.65815 5.19632 29.267
59 68.9681 3.44343 30.9943
60 1.66587 5.24054 32.6463
61 0.00883074 3.43597 34.501
62 1.73454 5.15445 36.2707
63 0.00957415 3.39744 38.0226
64 1.71085 5.15966 39.8149
65 0.0155305 3.41366 41.4726
66 1.71908 5.19543 43.1803
