ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.8400000000000006e+01
0.0000000000000000e+00 6.8400000000000006e+01
0.0000000000000000e+00 6.8400000000000006e+01
ITEM: ATOMS id x y z
1 68.3765 0.017014 0.0301328
2 1.73422 1.75839 1.74289
3 68.3904 0.0747634 3.39701
4 1.70142 1.75008 5.04314
5 0.0616422 0.0653287 6.84036
6 1.66414 1.69064 8.55231
7 0.0159622 0.0526247 10.2108
8 1.69135 1.66201 12.0491
9 68.3809 68.3035 13.822
10 1.6444 1.76815 15.3747
11 68.3574 68.3081 17.1352
12 1.62845 1.74868 18.8125
13 68.3043 0.0145239 20.5013
14 1.70392 1.72579 22.2104
15 0.0441387 0.0181565 23.9656
16 1.74506 1.6412 25.6804
17 0.0443491 68.3497 27.3321
18 1.7529 1.72197 29.023
19 68.3937 68.3981 30.8204
20 1.7999 1.75991 32.4574
21 0.0149149 0.0407342 34.2511
22 1.74405 1.78136 35.9334
23 0.0224184 0.0259384 37.6008
24 1.71842 1.72458 39.3147
25 68.3896 0.0619353 41.0846
26 1.68478 1.80036 42.8193
27 68.3806 68.3958 44.4569
28 1.70852 1.71391 46.2243
29 68.3748 68.2992 47.8824
30 1.66004 1.61498 49.5419
31 68.3455 68.3107 51.2914
32 1.69639 1.7207 53.0193
33 68.3553 0.0185013 54.6418
34 1.65833 1.73523 56.4249
35 68.3095 0.0725441 58.1664
36 1.6866 1.77225 59.8797
37 68.3524 0.0305985 61.554
38 1.70858 1.73682 63.356
39 68.3571 68.3975 64.8955
40 1.70995 1.75363 66.6395
41 68.3776 3.49215 68.364
42 1.77752 4.97848 1.71259
43 68.292 3.41502 3.37392
44 1.65665 5.09482 5.11867
45 68.2927 3.31661 6.81558
46 1.58909 5.09468 8.45337
47 68.3654 3.39541 10.294
48 1.60876 5.17378 12.1102
49 68.2963 3.50898 13.6553
50 1.61871 5.13382 15.4334
51 68.2894 3.45966 17.1354
52 1.51057 5.13209 18.8083
53 68.2505 3.47034 20.5427
54 1.66945 5.1398 22.2361
55 68.3646 3.41997 23.9887
56 1.72559 5.20655 25.697
57 0.0501423 3.4399 27.3055
58 1.75076 5.24587 29.0777
59 68.3929 3.39229 30.7486
60 1.77999 5.14049 32.4537
61 0.0168723 3.39232 34.2037
62 1.65688 5.01192 35.9189
63 68.3836 3.27254 37.6234
64 1.67653 5.11293 39.238
65 68.3176 3.45729 41.067
66 1.75997 5.15352 42.8109
67 68.3897 3.42312 44.5535
