ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.8799999999999997e+01
0.0000000000000000e+00 6.8799999999999997e+01
0.0000000000000000e+00 6.8799999999999997e+01
ITEM: ATOMS id x y z
1 0.0763828 0.0677114 68.7363
2 1.72176 1.72887 1.77349
3 0.0406147 0.0484029 3.52207
4 1.77224 1.69539 5.16885
5 0.0322172 0.0445318 6.92218
6 1.74475 1.7236 8.59572
7 68.7467 0.028247 10.2856
8 1.72128 1.69999 12.1016
9 68.764 0.0421943 13.7791
10 1.70243 1.75388 15.5484
11 68.7368 68.7584 17.2646
12 1.62434 1.69737 18.8549
13 68.677 0.00988377 20.6349
14 1.66522 1.66305 22.3709
15 68.7812 68.7822 24.0249
16 1.66624 1.72166 25.8103
17 0.0127109 68.7075 27.5622
18 1.74909 1.6261 29.3436
19 0.018823 0.0400706 31.0008
20 1.69686 1.70465 32.6803
21 0.00531103 0.0400174 34.3571
22 1.66705 1.71047 36.0324
23 68.7719 0.0617343 37.8017
24 1.69485 1.71234 39.4884
25 68.764 0.0141925 41.2436
26 1.67542 1.75606 42.9889
27 0.00777385 0.0230987 44.7454
28 1.76395 1.74571 46.5017
29 68.7808 0.0326098 48.1847
30 1.75701 1.75183 49.9087
31 68.7984 0.0175059 51.6083
32 1.75152 1.78541 53.3202
33 68.7563 0.0684837 55.0251
34 1.80569 1.74185 56.8223
35 68.7925 68.7606 58.4122
36 1.72959 1.76523 60.1743
37 0.0271686 68.7534 61.8596
38 1.77485 1.7376 63.5922
39 68.79 0.0713335 65.366
40 1.79621 1.70538 67.0739
41 0.0697886 3.38239 68.7317
42 1.72158 5.08588 1.69695
43 0.0641452 3.42011 3.54785
44 1.78934 5.1363 5.26722
45 0.0230598 3.34695 6.88884
46 1.68791 5.13835 8.61532
47 68.7618 3.40138 10.358
48 1.72227 5.1834 12.058
49 68.7452 3.39948 13.7477
50 1.73352 5.15955 15.4752
51 68.7551 3.40068 17.1479
52 1.78143 5.15131 18.8463
53 68.7785 3.41 20.6306
54 1.74689 5.154 22.4363
55 68.7639 3.41754 24.0532
56 1.70673 5.13161 25.7648
57 68.7836 3.47486 27.5564
58 1.69363 5.14531 29.3178
59 0.0178895 3.38605 31.0482
60 1.67241 5.09293 32.6677
61 0.0179126 3.37452 34.381
62 1.64402 5.07375 36.0527
63 0.0102613 3.38423 37.7607
64 1.604 5.14297 39.4839
65 0.0235004 3.40923 41.2082
66 1.65711 5.16167 43.0092
