ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.6799999999999997e+01
0.0000000000000000e+00 6.6799999999999997e+01
0.0000000000000000e+00 6.6799999999999997e+01
ITEM: ATOMS id x y z
1 0.0827511 0.00165661 66.7455
2 1.81865 1.71812 1.60902
3 66.792 66.7585 3.27977
4 1.64768 1.58416 5.00071
5 66.797 66.7563 6.77178
6 1.70559 1.60232 8.42194
7 0.0240204 66.7451 10.0917
8 1.73756 1.64599 11.8094
9 0.0442009 66.7667 13.343
10 1.6656 1.65952 15.0102
11 0.0689798 0.00933283 16.7046
12 1.73213 1.66624 18.2613
13 0.0632973 66.7998 19.9781
14 1.71956 1.78075 21.7019
15 0.0202448 66.7814 23.3376
16 1.68081 1.69765 25.0949
17 66.7954 0.0606701 26.7543
18 1.69264 1.68001 28.4261
19 66.7609 0.0345944 30.0753
20 1.66598 1.61366 31.6754
21 66.7667 66.7918 33.366
22 1.6889 1.62199 35.0803
23 66.7999 66.771 36.6877
24 1.68069 1.6191 38.3904
25 0.0255519 0.00114294 40.0472
26 1.69318 1.65626 41.7671
27 0.0105929 0.0380256 43.4644
28 1.65445 1.77844 45.1299
29 0.0338638 0.0404091 46.7501
30 1.66986 1.72812 48.4056
31 0.0460813 66.7695 50.0332
32 1.64296 1.72251 51.7499
33 0.01635 0.00650469 53.4686
34 1.65371 1.81726 55.1732
35 66.77 0.099135 56.7884
36 1.64298 1.78069 58.4158
37 66.7765 66.7925 60.1537
38 1.63347 1.652 61.7547
39 0.0211406 66.7919 63.5259
40 1.66067 1.70931 65.1649
41 0.0441543 3.41452 0.0594439
42 1.77094 4.98655 1.64079
43 0.0586731 3.35793 3.2976
44 1.74672 4.99187 4.9986
45 66.7983 3.27994 6.71239
46 1.67155 5.05292 8.37465
47 0.0265927 3.25063 10.0406
48 1.66265 4.93706 11.7178
49 0.0393552 3.33476 13.3653
50 1.62979 4.97588 15.0556
51 0.0211779 3.31517 16.69
52 1.63885 4.9624 18.2429
53 0.0246451 3.30805 19.9408
54 1.66695 4.98718 21.7122
55 0.00824866 3.31833 23.4803
56 1.68223 4.98682 25.0357
57 0.0155242 3.35838 26.7409
58 1.64561 4.94226 28.4136
59 0.0270388 3.32056 30.0577
60 1.67879 4.9974 31.6256
61 0.102484 3.32865 33.3539
62 1.69412 4.9265 35.0652
63 0.0302401 3.36335 36.764
64 1.72366 4.99234 38.3771
65 0.0022403 3.37671 40.0032
66 1.68952 4.99564 41.7989
