ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.8799999999999997e+01
0.0000000000000000e+00 6.8799999999999997e+01
0.0000000000000000e+00 6.8799999999999997e+01
ITEM: ATOMS id x y z
1 68.7999 0.037698 68.772
2 1.76762 1.79969 1.65583
3 0.0318608 0.0429487 3.46394
4 1.76075 1.6884 5.15285
5 0.0213147 0.0145395 6.88694
6 1.70606 1.74804 8.61404
7 68.7877 68.7099 10.3018
8 1.65075 1.7905 11.9833
9 0.0381082 68.769 13.7892
10 1.70973 1.80698 15.5206
11 0.000816823 0.0913485 17.1668
12 1.69103 1.74892 18.8518
13 68.7754 68.7947 20.6535
14 1.75108 1.75161 22.4187
15 68.7663 68.7659 24.0182
16 1.7655 1.6941 25.7061
17 68.7846 0.0492438 27.4844
18 1.70787 1.7175 29.2113
19 0.0176004 0.0304552 30.9564
20 1.70433 1.75673 32.6539
21 0.000662603 68.7858 34.4864
22 1.77816 1.75851 36.125
23 0.0164058 0.0548955 37.8146
24 1.75374 1.74996 39.5758
25 68.7742 0.107244 41.1792
26 1.6882 1.71244 42.8818
27 0.0499087 0.00236816 44.681
28 1.68583 1.71111 46.4788
29 68.7964 68.7643 48.0445
30 1.66585 1.63454 49.925
31 68.7548 68.743 51.7689
32 1.73691 1.69917 53.3074
33 0.0219422 68.7652 55.0197
34 1.72243 1.72379 56.7885
35 0.0108063 68.7862 58.4842
36 1.79694 1.64235 60.2563
37 0.0635603 68.7991 61.9796
38 1.71508 1.64871 63.6453
39 0.0306391 68.7743 65.3312
40 1.75324 1.73607 67.1287
41 68.7402 3.55431 0.000983798
42 1.73093 5.20095 1.7549
43 0.0243967 3.45292 3.50685
44 1.79897 5.20018 5.24443
45 68.7939 3.42362 6.84023
46 1.75517 5.14948 8.59889
47 68.77 3.54308 10.3135
48 1.73424 5.16478 12.0592
49 68.7509 3.44973 13.834
50 1.63728 5.14751 15.4445
51 68.7696 3.49198 17.1693
52 1.68644 5.16906 18.8252
53 68.7577 3.48217 20.6274
54 1.80634 5.14378 22.351
55 68.7087 3.50543 24.0968
56 1.78274 5.10138 25.8097
57 68.7656 3.43525 27.4881
58 1.70084 5.14134 29.3051
59 68.7751 3.48861 30.9322
60 1.668 5.17452 32.6192
61 68.7894 3.44528 34.4075
62 1.66285 5.18343 36.1982
63 68.7481 3.44371 37.8967
64 1.63616 5.13169 39.5228
65 0.0116662 3.47941 41.1884
66 1.72937 5.12304 42.8978
