ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.7799999999999997e+01
0.0000000000000000e+00 6.7799999999999997e+01
0.0000000000000000e+00 6.7799999999999997e+01
ITEM: ATOMS id x y z
1 0.0203371 67.745 67.7591
2 1.76036 1.59966 1.65969
3 0.0330053 67.7534 3.38101
4 1.78047 1.67955 5.08944
5 67.7857 67.7794 6.78866
6 1.73386 1.63154 8.5377
7 0.0450816 67.7255 10.2003
8 1.77295 1.73725 11.8935
9 0.0773234 67.7215 13.5866
10 1.75221 1.70141 15.2761
11 0.0306216 67.6944 16.9251
12 1.72801 1.71535 18.5613
13 0.0498404 67.7523 20.3027
14 1.72819 1.78828 22.0776
15 0.00993767 0.00885951 23.7081
16 1.65519 1.76977 25.3886
17 67.7323 0.00321264 27.1313
18 1.60793 1.70731 28.8298
19 67.7778 0.0572248 30.5103
20 1.65892 1.7212 32.2509
21 67.7758 0.10157 33.9613
22 1.68636 1.77272 35.6395
23 0.0209121 67.7978 37.3227
24 1.66797 1.73638 38.9326
25 67.7843 0.028421 40.7006
26 1.59204 1.73683 42.3281
27 67.7731 0.080378 43.9193
28 1.65444 1.75191 45.6458
29 67.7847 0.00275258 47.4593
30 1.70415 1.73912 49.1793
31 0.00697231 0.0300724 50.9133
32 1.60715 1.70519 52.5862
33 0.00245682 0.0750814 54.2522
34 1.71406 1.72143 55.8907
35 67.7674 0.143006 57.6222
36 1.77597 1.68488 59.3237
37 0.0928179 0.0989024 61.0073
38 1.7536 1.65209 62.7137
39 0.127606 0.0377153 64.4192
40 1.74037 1.56864 66.0206
41 0.0871275 3.34586 67.7518
42 1.74731 5.13395 1.73144
43 0.0780813 3.32283 3.32175
44 1.72791 5.06881 5.04144
45 67.7942 3.33993 6.81394
46 1.73011 5.11843 8.41568
47 0.0330988 3.39766 10.1813
48 1.76905 5.184 11.9013
49 67.7847 3.36652 13.5451
50 1.73657 5.06275 15.2559
51 67.7546 3.42258 16.9752
52 1.75168 5.07726 18.6227
53 0.0319148 3.38624 20.3492
54 1.67719 5.04621 22.0717
55 67.7957 3.39845 23.73
56 1.65558 5.08707 25.3929
57 67.7607 3.42799 27.1562
58 1.67045 5.07634 28.7847
59 0.0196578 3.46651 30.5886
60 1.66914 5.12467 32.3143
61 67.7859 3.39862 33.8971
62 1.70313 5.1251 35.6312
63 0.00326151 3.39825 37.2672
64 1.69559 5.12123 38.9552
65 0.0172301 3.39475 40.6796
66 1.6219 5.05987 42.3649
