ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.7000000000000000e+01
0.0000000000000000e+00 6.7000000000000000e+01
0.0000000000000000e+00 6.7000000000000000e+01
ITEM: ATOMS id x y z
1 66.9521 0.0201418 66.9482
2 1.61652 1.46386 1.62276
3 66.9867 66.9769 3.37221
4 1.6632 1.56124 4.98873
5 0.0971568 66.9847 6.7418
6 1.65889 1.64395 8.44335
7 0.0162558 66.9962 10.0521
8 1.70801 1.62413 11.6374
9 0.0618326 66.8885 13.3705
10 1.7258 1.66624 15.0304
11 0.0813447 66.983 16.7138
12 1.73972 1.68698 18.3781
13 0.0637752 0.0351637 20.0595
14 1.76807 1.60521 21.801
15 0.0575225 0.000392094 23.5763
16 1.74454 1.60685 25.2552
17 0.111269 66.9472 26.8348
18 1.81797 1.62452 28.4984
19 0.0432772 0.0183791 30.1268
20 1.71748 1.6435 31.8414
21 0.0674073 66.9385 33.5266
22 1.66124 1.67251 35.1692
23 0.000577233 66.9623 36.8729
24 1.61779 1.66462 38.4834
25 66.9843 66.9999 40.2277
26 1.63504 1.64538 41.9204
27 66.9802 0.00952684 43.5266
28 1.63495 1.61962 45.2131
29 66.9499 66.9837 46.9288
30 1.64754 1.66615 48.5567
31 0.0252088 66.9769 50.2588
32 1.65432 1.68207 51.9308
33 0.0492402 0.023796 53.6279
34 1.63652 1.75585 55.3036
35 0.0604245 66.9932 56.8958
36 1.65246 1.77784 58.6202
37 0.0350515 0.0419346 60.3388
38 1.6867 1.81494 62.012
39 66.9657 0.0803006 63.6784
40 1.70352 1.66637 65.3478
41 0.0899556 3.37434 0.013122
42 1.72664 5.20288 1.75042
43 0.0901567 3.27209 3.24446
44 1.73757 5.05321 4.93828
45 0.0834148 3.29638 6.72566
46 1.75097 5.01784 8.39936
47 0.0683875 3.41547 10.0193
48 1.79276 5.03494 11.6268
49 0.0964751 3.47071 13.3622
50 1.78997 5.05986 15.0384
51 0.0563131 3.42389 16.6513
52 1.69948 5.05183 18.3915
53 0.00930803 3.28459 20.1291
54 1.74821 4.97211 21.7417
55 0.045556 3.25795 23.5462
56 1.71932 4.96293 25.2418
57 0.0423931 3.25576 26.8513
58 1.73678 4.94956 28.5199
59 0.00888991 3.32497 30.1769
60 1.60527 4.95654 31.8794
61 0.0178069 3.38438 33.5367
62 1.57212 4.98339 35.1543
63 66.9693 3.35499 36.8601
64 1.62275 5.02356 38.4735
65 66.9581 3.32025 40.1519
66 1.66822 5.021 41.8943
