ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.8000000000000000e+01
0.0000000000000000e+00 6.8000000000000000e+01
0.0000000000000000e+00 6.8000000000000000e+01
ITEM: ATOMS id x y z
179 67.9941 13.6435 30.6327
180 1.71758 15.4071 32.3582
181 67.9244 13.5848 34.0722
182 1.61469 15.2839 35.7493
183 0.00362747 13.6938 37.4591
184 1.65402 15.2884 39.1124
185 67.9302 13.6673 40.8133
186 1.64463 15.2487 42.4472
187 67.9307 13.5941 44.1994
188 1.64476 15.3389 45.9653
189 67.9591 13.5988 47.6539
190 1.74202 15.3422 49.3456
191 67.9018 13.6702 50.9627
192 1.67657 15.3094 52.6994
193 67.9652 13.5567 54.3916
194 1.62013 15.285 56.1662
195 0.0135396 13.5949 57.8017
196 1.70373 15.255 59.5616
197 67.9642 13.5333 61.1752
198 1.7767 15.1995 62.8307
199 0.0894185 13.6157 64.6432
200 1.70038 15.3021 66.343
201 0.0264119 17.0203 0.034206
202 1.76032 18.7644 1.74743
203 67.9472 17.0156 3.41864
204 1.74381 18.7297 5.04939
205 67.9653 17.0418 6.81686
206 1.7232 18.7227 8.53633
207 67.9618 17.0106 10.1918
208 1.65231 18.6989 11.8435
209 67.9703 16.9562 13.5086
210 1.74904 18.5824 15.2285
211 67.9977 16.9664 16.9399
212 1.63534 18.5901 18.5989
213 0.0177185 17.0606 20.3279
214 1.64007 18.7045 22.208
215 0.0484455 17.0648 23.902
216 1.62557 18.7578 25.5586
217 0.0113065 16.9642 27.1882
218 1.6856 18.8065 28.8938
219 0.00483099 17.0618 30.5794
220 1.74615 18.6965 32.3506
221 67.995 17.0066 34.153
222 1.65562 18.7166 35.8062
223 67.9615 17.006 37.4731
224 1.69104 18.7392 39.0604
225 67.9152 16.9176 40.8046
226 1.73695 18.739 42.506
227 0.0240681 17.0282 44.1651
228 1.78181 18.7568 45.9007
229 0.017778 17.0833 47.6568
230 1.7684 18.7143 49.3287
231 0.000435473 17.077 51.0093
232 1.69081 18.6883 52.745
233 0.0616232 16.9988 54.4297
234 1.62819 18.6535 56.1223
235 67.9796 16.9356 57.7854
236 1.68326 18.6844 59.5012
237 67.9784 16.9335 61.1855
238 1.64075 18.7319 62.8958
239 0.0781622 16.9113 64.5599
240 1.6458 18.694 66.2724
241 67.9976 20.3681 0.0133283
242 1.68746 22.0031 1.70741
243 0.0335298 20.3868 3.38094
244 1.72026 22.0813 5.06346
245 0.010918 20.3776 6.79362
246 1.66479 22.0131 8.51682
247 67.9786 20.3165 10.1855
248 1.72337 22.0596 11.854
249 0.0459717 20.316 13.5209
250 1.70776 22.1331 15.2472
251 67.9999 20.382 16.9013
252 1.64114 22.1282 18.6487
253 67.9969 20.3866 20.3801
254 1.67745 22.1214 22.1615
255 0.0181699 20.4089 23.943
256 1.70091 22.073 25.582
257 67.9414 20.4738 27.2027
258 1.61975 22.0232 28.8836
259 67.9804 20.3959 30.5908
260 1.6945 22.0386 32.34
261 67.9695 20.3953 34.0456
262 1.66021 22.1325 35.7357
263 67.9073 20.4051 37.4171
264 1.64091 22.1115 39.1328
265 67.8784 20.4398 40.8353
266 1.71019 22.1104 42.4633
267 0.0336574 20.3983 44.194
268 1.74254 22.0345 45.9067
269 67.9952 20.2712 47.612
270 1.70072 22.0231 49.2641
271 0.0204813 20.3421 51.0013
272 1.7324 22.0488 52.7708
273 0.0479525 20.4067 54.5075
274 1.68741 22.1206 56.1393
275 0.00121699 20.3719 57.7499
276 1.74322 22.1385 59.4549
277 0.0891966 20.4099 61.1482
