ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.8200000000000003e+01
0.0000000000000000e+00 6.8200000000000003e+01
0.0000000000000000e+00 6.8200000000000003e+01
ITEM: ATOMS id x y z
1 0.0317313 68.1734 68.1933
2 1.71973 1.70404 1.71979
3 0.0633264 0.000965357 3.47535
4 1.59477 1.80764 5.11249
5 0.00317652 0.0365252 6.83992
6 1.65101 1.80323 8.56921
7 0.00106097 0.0369224 10.2705
8 1.69056 1.76001 11.9834
9 0.0132128 0.114819 13.6974
10 1.73497 1.73314 15.2974
11 0.077635 0.067826 16.9783
12 1.70836 1.72391 18.7733
13 0.00241871 68.1759 20.4173
14 1.66647 1.6943 22.1093
15 0.0117675 0.00910086 23.9426
16 1.67288 1.68832 25.6421
17 68.1945 68.1704 27.2658
18 1.70745 1.65475 28.9555
19 68.1412 68.1578 30.6848
20 1.67796 1.69476 32.4585
21 68.189 68.173 34.1342
22 1.71235 1.70882 35.8694
23 68.1917 68.1178 37.4699
24 1.68909 1.66966 39.2283
25 68.1191 68.1343 40.9072
26 1.66923 1.65437 42.5279
27 68.1398 68.0591 44.1812
28 1.63787 1.61972 45.8958
29 0.00150114 68.1643 47.7465
30 1.70189 1.68813 49.5913
31 68.1773 68.1865 51.2183
32 1.72132 1.705 52.8516
33 68.1871 0.125685 54.5669
34 1.69611 1.68883 56.292
35 68.1844 0.011799 57.9748
36 1.70526 1.68061 59.7217
37 68.1533 0.0056756 61.3145
38 1.72748 1.71883 63.0181
39 68.1588 0.0537867 64.7053
40 1.77308 1.70685 66.4017
41 0.0239062 3.45081 68.1688
42 1.69486 5.14735 1.71412
43 68.1312 3.50125 3.42
44 1.66983 5.16759 5.04531
45 68.0673 3.53832 6.80362
46 1.65872 5.12458 8.68248
47 68.169 3.49446 10.306
48 1.72396 5.16187 11.9304
49 68.1777 3.43126 13.6555
50 1.67485 5.10268 15.3094
51 0.0657345 3.31158 16.866
52 1.67076 5.06341 18.7197
53 0.0606433 3.40327 20.5134
54 1.73145 5.1138 22.1389
55 68.1989 3.37503 23.892
56 1.70545 5.05842 25.5936
57 0.0214246 3.33437 27.2506
58 1.68154 5.10967 28.8987
59 0.0125156 3.41416 30.6983
60 1.73869 5.07292 32.5723
61 68.1929 3.42231 34.1982
62 1.69371 5.15547 35.8284
63 68.1825 3.47763 37.5186
64 1.64757 5.15239 39.1639
65 68.1351 3.38775 40.9281
66 1.62638 5.0724 42.5502
67 68.1484 3.44648 44.2441
