ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.6000000000000000e+01
0.0000000000000000e+00 6.6000000000000000e+01
0.0000000000000000e+00 6.6000000000000000e+01
ITEM: ATOMS id x y z
1 65.9765 0.0341585 0.0852281
2 1.67582 1.73854 1.68616
3 65.9893 0.0655368 3.339
4 1.58259 1.65743 4.99177
5 65.9661 0.0116924 6.62907
6 1.59352 1.70353 8.20672
7 65.928 65.9611 9.796
8 1.53055 1.64824 11.545
9 65.9675 65.9833 13.2272
10 1.62452 1.6886 14.8475
11 65.9809 65.9947 16.4357
12 1.56837 1.68158 18.0393
13 65.9566 65.9912 19.7638
14 1.60925 1.68815 21.4363
15 65.9816 65.9722 23.1121
16 1.68781 1.71238 24.7096
17 65.9702 65.9646 26.344
18 1.6677 1.55718 28.0736
19 0.0162172 65.9511 29.7295
20 1.68963 1.50482 31.4438
21 0.0386053 65.9294 33.0519
22 1.72359 1.59944 34.6912
23 0.0263087 65.9145 36.2993
24 1.68737 1.6245 37.9209
25 65.9987 65.9555 39.62
26 1.70513 1.67529 41.2398
27 0.0713671 65.943 42.8994
28 1.70106 1.56967 44.5808
29 0.0535123 65.9828 46.2294
30 1.61128 1.59546 47.8589
31 0.0276262 65.955 49.4919
32 1.55297 1.62586 51.1006
33 0.0325703 65.9105 52.7912
34 1.67533 1.63032 54.4133
35 65.9591 65.9485 56.0892
36 1.70032 1.5616 57.7334
37 65.9733 65.9706 59.3742
38 1.63137 1.63789 61.0703
39 0.0239392 0.0395983 62.7159
40 1.65234 1.64626 64.3717
41 0.0682025 3.32211 0.0409425
42 1.6755 4.95905 1.70462
43 0.0664273 3.29868 3.33426
44 1.63597 4.86939 4.98495
45 65.9539 3.34247 6.6111
46 1.66422 4.90182 8.2102
47 65.9805 3.33945 9.87565
48 1.57628 5.05786 11.5394
49 0.0141375 3.36168 13.1745
50 1.643 4.98941 14.8104
51 0.00215845 3.28601 16.4259
52 1.60012 4.95964 18.0861
53 0.000985878 3.34129 19.7936
54 1.66315 4.99986 21.4635
55 65.9483 3.37659 23.0551
56 1.69926 4.94218 24.8058
57 0.000197166 3.31711 26.4419
58 1.65389 5.05586 28.0992
59 0.0437098 3.29244 29.7434
60 1.73013 5.05826 31.3596
61 0.0441241 3.29233 32.966
62 1.66227 4.97756 34.6063
63 0.0820587 3.29788 36.3063
64 1.70706 4.93088 37.8607
65 0.103969 3.35875 39.5694
66 1.72376 4.94776 41.2419
