ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.8600000000000009e+01
0.0000000000000000e+00 6.8600000000000009e+01
0.0000000000000000e+00 6.8600000000000009e+01
ITEM: ATOMS id x y z
1 0.021029 0.00424437 68.5867
2 1.77091 1.65607 1.67085
3 68.5719 68.5708 3.38852
4 1.76099 1.71254 5.10065
5 68.5961 68.5973 6.77951
6 1.84792 1.69524 8.45594
7 0.0473083 0.0491925 10.2317
8 1.74842 1.70143 12.0079
9 0.00641241 68.5983 13.8021
10 1.7002 1.69247 15.5933
11 68.5992 0.0413962 17.1821
12 1.68572 1.68497 18.8896
13 68.566 0.0507084 20.5691
14 1.69069 1.73251 22.2587
15 0.0630483 0.0227427 24.0307
16 1.71256 1.71638 25.7251
17 0.0417542 68.5112 27.4113
18 1.65695 1.65911 29.1924
19 68.5547 68.5646 30.9358
20 1.60985 1.66182 32.6309
21 68.5619 0.0337935 34.3757
22 1.67503 1.6475 36.0488
23 68.5546 0.00429792 37.7011
24 1.70702 1.67204 39.3973
25 0.00762961 0.000782771 41.1296
26 1.77156 1.67981 42.8839
27 68.5393 68.5304 44.5017
28 1.65948 1.73221 46.3001
29 68.5774 68.5424 48.0747
30 1.75889 1.73361 49.7206
31 0.0289372 68.5869 51.4515
32 1.8676 1.73519 53.2611
33 0.11042 68.5954 54.9292
34 1.78875 1.68568 56.611
35 0.0376346 0.0292267 58.3018
36 1.7625 1.68917 59.9789
37 0.0718809 0.0248673 61.6925
38 1.73861 1.75504 63.5059
39 68.5957 0.0583877 65.1867
40 1.78988 1.75158 66.8504
41 0.0427946 3.37024 68.5212
42 1.79132 5.11509 1.65763
43 0.119072 3.41529 3.32316
44 1.77532 5.1078 5.12427
45 68.5464 3.50492 6.97479
46 1.71657 5.17706 8.65176
47 0.0261341 3.43658 10.318
48 1.65616 5.292 12.0717
49 0.0301472 3.43396 13.7825
50 1.67823 5.1531 15.4937
51 68.588 3.45002 17.1433
52 1.57404 5.12117 18.8902
53 0.0486028 3.40742 20.6405
54 1.70157 5.12578 22.3013
55 0.0880551 3.39844 23.9386
56 1.68856 5.10825 25.7033
57 68.5721 3.36016 27.4655
58 1.73088 5.11785 29.169
59 68.5058 3.39995 30.8913
60 1.70224 5.09964 32.6118
61 68.5864 3.38744 34.3181
62 1.72063 5.12373 35.9528
63 68.599 3.40145 37.7737
64 1.78426 5.12979 39.4387
65 0.00250497 3.35448 41.1079
66 1.78224 5.08818 42.8648
