ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.7400000000000006e+01
0.0000000000000000e+00 6.7400000000000006e+01
0.0000000000000000e+00 6.7400000000000006e+01
ITEM: ATOMS id x y z
1 0.00735985 67.3141 0.070008
2 1.68587 1.63284 1.60777
3 0.0188551 67.2896 3.34894
4 1.59933 1.61544 5.02885
5 0.0399472 67.3642 6.71708
6 1.68995 1.65127 8.49345
7 0.0155448 0.0244946 10.1262
8 1.68374 1.65424 11.7955
9 0.0398868 67.3992 13.4993
10 1.68471 1.65948 15.0981
11 0.0573765 0.0182694 16.8284
12 1.64442 1.64935 18.5945
13 0.0052445 0.000943371 20.2767
14 1.70012 1.56366 21.9982
15 0.024614 0.00717791 23.6159
16 1.69194 1.57745 25.2517
17 0.0181498 67.3925 26.8802
18 1.66319 1.66813 28.5192
19 67.3501 67.3664 30.2893
20 1.68012 1.63856 31.9793
21 0.0536548 67.2949 33.6861
22 1.65956 1.70844 35.4041
23 0.0300131 67.3143 37.0977
24 1.68213 1.68815 38.75
25 67.3607 0.0632 40.4418
26 1.67211 1.78528 42.1373
27 67.3981 0.0129269 43.7521
28 1.66738 1.71131 45.5282
29 67.3859 0.0400927 47.256
30 1.61245 1.70569 48.853
31 67.3885 67.3771 50.5532
32 1.69885 1.71996 52.2696
33 67.3977 67.3765 53.8492
34 1.66004 1.63874 55.6025
35 67.3857 0.0278281 57.3757
36 1.67762 1.65375 58.9879
37 67.361 0.0286099 60.6396
38 1.70146 1.61792 62.3915
39 67.3671 67.3863 63.9856
40 1.68358 1.65077 65.7292
41 0.00687885 3.36985 67.3582
42 1.69989 5.05301 1.54934
43 0.0311634 3.39696 3.32248
44 1.69972 5.04572 5.08798
45 0.0604981 3.41103 6.79932
46 1.72497 5.06032 8.44406
47 0.0328974 3.39483 10.1298
48 1.70692 5.02615 11.8841
49 0.0952419 3.36071 13.4975
50 1.68824 5.01956 15.126
51 0.0790912 3.35861 16.8035
52 1.72653 4.97499 18.5359
53 0.00805815 3.33381 20.326
54 1.78896 5.04132 22.0092
55 0.0637601 3.33381 23.6402
56 1.68083 5.03093 25.3252
57 0.0217117 3.27121 26.8404
58 1.62373 5.00456 28.4286
59 0.0173262 3.39088 30.233
60 1.64052 5.09137 32.0483
61 67.3995 3.3474 33.687
62 1.62398 5.13126 35.3943
63 67.3443 3.44796 37.1798
64 1.64962 5.10786 38.8003
65 67.3591 3.4067 40.4482
66 1.67754 5.11035 42.1308
