ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.6599999999999994e+01
0.0000000000000000e+00 6.6599999999999994e+01
0.0000000000000000e+00 6.6599999999999994e+01
ITEM: ATOMS id x y z
1 66.5963 66.5869 0.0146898
2 1.6627 1.67374 1.67733
3 0.0250961 0.0395724 3.3854
4 1.7585 1.73014 5.02313
5 0.0262521 0.114973 6.64543
6 1.72129 1.6524 8.35895
7 0.0434048 66.5415 9.98135
8 1.69734 1.55539 11.6391
9 66.5795 0.0139527 13.3135
10 1.61866 1.59007 14.9868
11 66.5571 66.5799 16.6186
12 1.69837 1.58592 18.2641
13 0.0320352 66.5638 19.977
14 1.70043 1.67683 21.7269
15 0.0197224 66.5409 23.2932
16 1.72208 1.70588 24.9338
17 0.086771 66.5774 26.6286
18 1.74954 1.6819 28.2697
19 0.0524223 0.0795195 29.958
20 1.6867 1.69365 31.6619
21 0.0635859 0.100756 33.2792
22 1.70701 1.69721 34.9999
23 0.0314691 66.5954 36.5978
24 1.6402 1.65547 38.3043
25 0.0437358 0.0069213 40.0323
26 1.66666 1.67258 41.5808
27 66.5859 0.00559079 43.1812
28 1.62534 1.66196 44.8752
29 66.5476 0.0531453 46.6631
30 1.61561 1.66659 48.2745
31 66.5291 0.0900867 49.9304
32 1.60319 1.74526 51.6497
33 66.5356 0.047227 53.3592
34 1.63469 1.67022 54.9432
35 66.5375 0.00245522 56.5932
36 1.59551 1.65234 58.305
37 66.4934 66.464 59.9138
38 1.62026 1.64939 61.5672
39 66.575 66.5901 63.3037
40 1.66253 1.68563 65.0246
41 0.000162238 3.34231 66.5329
42 1.66928 4.92395 1.63552
43 0.0337622 3.36282 3.45002
44 1.68393 4.94677 5.02841
45 0.067359 3.3085 6.6481
46 1.66612 4.92135 8.30672
47 0.0139463 3.31626 10.0117
48 1.62666 5.04632 11.6168
49 66.5956 3.28559 13.2833
50 1.66522 4.95518 14.9696
51 66.5631 3.27235 16.6525
52 1.63992 5.02535 18.2898
53 0.0389065 3.33316 19.9572
54 1.67994 4.90379 21.7135
55 0.00738591 3.32116 23.2822
56 1.73026 4.87357 24.9073
57 0.0304951 3.35983 26.6118
58 1.72741 4.98452 28.3345
59 0.0374684 3.33579 29.9871
60 1.6721 5.00544 31.6991
61 0.0278664 3.33227 33.2842
62 1.7024 4.92434 34.9501
63 66.5872 3.43726 36.673
64 1.64366 4.9792 38.3417
65 66.5715 3.41466 39.99
66 1.64039 4.98508 41.7282
