ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.8000000000000000e+01
0.0000000000000000e+00 6.8000000000000000e+01
0.0000000000000000e+00 6.8000000000000000e+01
ITEM: ATOMS id x y z
1 67.9722 67.9578 0.00692665
2 1.63746 1.64061 1.80868
3 67.969 67.9741 3.43587
4 1.63423 1.63052 5.12658
5 67.9809 0.0116101 6.85386
6 1.67565 1.68278 8.51153
7 67.9941 67.9464 10.176
8 1.62917 1.7137 11.8168
9 0.00503387 0.0614547 13.639
10 1.75736 1.72015 15.3971
11 0.0531907 0.0497975 17.015
12 1.74169 1.71166 18.651
13 0.0798261 0.0596324 20.4061
14 1.64901 1.70637 22.1163
15 0.0338156 67.9903 23.7663
16 1.60324 1.68282 25.4178
17 0.00013463 67.924 27.1053
18 1.65972 1.66345 28.8546
19 67.9218 0.0372921 30.6151
20 1.70544 1.69376 32.3446
21 0.00565642 0.0623036 34.0183
22 1.71247 1.72152 35.7465
23 67.9023 0.00654421 37.4532
24 1.70546 1.73655 39.1154
25 0.0297218 0.00960145 40.8031
26 1.74305 1.66016 42.5042
27 0.0587965 67.956 44.162
28 1.70396 1.71244 45.8965
29 0.0212489 67.9279 47.5881
30 1.74404 1.77534 49.2936
31 0.0561678 67.9752 50.9124
32 1.72292 1.81485 52.6228
33 0.0638637 0.0742152 54.3823
34 1.73194 1.71974 56.0359
35 67.9884 0.12877 57.6884
36 1.65407 1.64123 59.5151
37 67.9654 67.9773 61.2977
38 1.65498 1.67444 62.9167
39 67.9778 67.956 64.6236
40 1.64402 1.56741 66.2344
41 67.9379 3.36521 0.0387138
42 1.63076 5.11876 1.80681
43 67.8694 3.43443 3.45827
44 1.63659 5.11552 5.0875
45 67.9119 3.49214 6.78966
46 1.53621 5.17128 8.53838
47 67.9691 3.48099 10.1583
48 1.655 5.13156 11.9099
49 0.0385881 3.45268 13.657
50 1.71985 5.1536 15.2928
51 0.0618706 3.45115 16.9558
52 1.6624 5.1295 18.7157
53 0.00168818 3.41092 20.4087
54 1.61942 5.13293 22.1123
55 67.957 3.41852 23.7915
56 1.67128 5.04879 25.4463
57 67.9731 3.47193 27.1264
58 1.62521 5.06362 28.8514
59 0.00434864 3.39143 30.6175
60 1.68547 5.1587 32.3537
61 0.0198521 3.43695 33.9891
62 1.67871 5.0904 35.7547
63 67.8993 3.43716 37.3672
64 1.66511 5.11012 39.0717
65 0.0711757 3.45345 40.8829
66 1.73465 5.21362 42.4212
