ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.6399999999999991e+01
0.0000000000000000e+00 6.6399999999999991e+01
0.0000000000000000e+00 6.6399999999999991e+01
ITEM: ATOMS id x y z
1 66.3909 0.00722048 66.3844
2 1.67129 1.69063 1.7224
3 0.0174233 0.0264186 3.33893
4 1.65834 1.63397 4.99755
5 66.388 0.00305855 6.61469
6 1.64771 1.64284 8.30938
7 66.3792 66.2692 9.92283
8 1.5883 1.61614 11.6339
9 66.3014 66.3214 13.2458
10 1.58538 1.57959 14.8761
11 66.3061 66.3895 16.6019
12 1.58356 1.66407 18.2618
13 66.3911 66.3991 19.9313
14 1.63978 1.60153 21.6397
15 0.044462 0.00572726 23.2989
16 1.66323 1.67031 24.9704
17 0.027489 66.3408 26.5813
18 1.65748 1.68554 28.1906
19 66.3547 0.0104624 29.9329
20 1.62625 1.62791 31.6115
21 0.00858083 66.3557 33.279
22 1.64219 1.69724 34.8414
23 0.0750354 66.388 36.4924
24 1.69228 1.68702 38.0328
25 0.0324074 66.3946 39.8558
26 1.71172 1.68261 41.5362
27 0.0035812 66.383 43.1542
28 1.71279 1.64949 44.8012
29 0.0481232 66.3674 46.4989
30 1.674 1.60416 48.1799
31 0.0117965 66.3506 49.8188
32 1.66073 1.6495 51.4747
33 66.3398 0.000233879 53.1015
34 1.63793 1.60409 54.7595
35 66.2762 0.00263691 56.4619
36 1.65763 1.65369 58.0866
37 66.3731 66.3555 59.7047
38 1.62622 1.55197 61.4072
39 66.3122 66.3194 63.1014
40 1.63696 1.6515 64.7312
41 0.0536127 3.27001 0.0329878
42 1.65836 4.93794 1.71295
43 0.0214578 3.28181 3.37696
44 1.62621 4.96395 4.97806
45 66.3871 3.32329 6.69032
46 1.6895 4.8901 8.32904
47 66.3813 3.32032 9.8945
48 1.59392 4.89177 11.6135
49 0.000275139 3.28525 13.308
50 1.60988 5.00899 14.9369
51 66.3765 3.33341 16.5402
52 1.57955 4.97837 18.2653
53 66.3836 3.28984 20.033
54 1.59806 4.97797 21.5661
55 0.0603361 3.30438 23.236
56 1.63703 4.93672 25.0495
57 66.3303 3.26757 26.6342
58 1.65029 4.95462 28.1928
59 66.3522 3.2737 29.9463
60 1.63302 5.00704 31.5457
61 66.3817 3.36184 33.2039
62 1.65943 4.95459 34.8559
63 0.0853733 3.34958 36.4486
64 1.66037 4.98738 38.1542
65 0.0892668 3.35228 39.7589
66 1.67619 4.9279 41.4645
