ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.6000000000000000e+01
0.0000000000000000e+00 6.6000000000000000e+01
0.0000000000000000e+00 6.6000000000000000e+01
ITEM: ATOMS id x y z
1 65.963 0.0306415 0.0087447
2 1.6362 1.65108 1.61675
3 65.9356 65.9931 3.23496
4 1.57529 1.64609 4.93318
5 65.9866 65.9899 6.58051
6 1.60667 1.64222 8.242
7 65.9571 0.0576941 9.9544
8 1.59769 1.66243 11.6274
9 65.9783 65.9742 13.1832
10 1.57069 1.6763 14.7712
11 0.046791 0.0600795 16.5246
12 1.66475 1.60529 18.2285
13 0.00366753 0.0218341 19.7711
14 1.69914 1.58376 21.44
15 0.0540709 0.0122847 23.0479
16 1.70232 1.57562 24.7457
17 0.00847051 65.9847 26.424
18 1.63501 1.62514 28.0226
19 65.9958 0.0070964 29.6641
20 1.57651 1.67089 31.4233
21 65.9642 0.0423941 33.0394
22 1.5883 1.68116 34.64
23 0.00151545 7.76955e-05 36.2686
24 1.62554 1.65393 37.9297
25 65.995 65.9409 39.6839
26 1.59764 1.69185 41.2633
27 0.0146262 65.914 42.852
28 1.53034 1.64359 44.5609
29 0.0306155 0.00454833 46.2658
30 1.63631 1.6458 47.9211
31 65.9845 65.94 49.4888
32 1.62127 1.65712 51.1598
33 65.9839 65.9592 52.8262
34 1.62894 1.7264 54.3712
35 65.9874 65.9775 56.0862
36 1.66658 1.6423 57.7823
37 65.9314 0.0071332 59.3337
38 1.71888 1.6908 60.9793
39 65.9673 0.0364364 62.6745
40 1.66123 1.72749 64.3394
41 65.9408 3.23133 0.0101754
42 1.63483 4.93973 1.59806
43 0.018166 3.34132 3.31274
44 1.71053 4.99194 4.98943
45 0.0472723 3.29512 6.59368
46 1.65788 4.9443 8.22569
47 65.9756 3.28324 9.92806
48 1.69254 4.99987 11.5441
49 65.9642 3.37835 13.2173
50 1.66686 4.90095 14.8123
51 0.00417602 3.29816 16.517
52 1.66619 4.93265 18.201
53 65.9768 3.25085 19.7852
54 1.67496 5.02008 21.4875
55 0.0423522 3.28497 23.1238
56 1.66368 5.10168 24.7615
57 0.0098345 3.30139 26.3875
58 1.63014 5.0841 28.0582
59 65.9721 3.2857 29.6673
60 1.64032 4.98753 31.3175
61 65.9911 3.31301 32.9976
62 1.60576 4.96902 34.6458
63 0.0335893 3.32839 36.2668
64 1.54189 5.05276 37.9333
65 65.9268 3.35662 39.6094
66 1.61697 5.04926 41.28
