ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.7000000000000000e+01
0.0000000000000000e+00 6.7000000000000000e+01
0.0000000000000000e+00 6.7000000000000000e+01
ITEM: ATOMS id x y z
1 0.0121482 66.979 66.9696
2 1.67088 1.64569 1.63268
3 0.00478908 0.0673759 3.26428
4 1.64162 1.68461 4.80357
5 0.047283 0.135679 6.73002
6 1.68025 1.64942 8.60077
7 66.9395 66.9843 10.0989
8 1.65521 1.63513 11.6262
9 0.0203238 66.9437 13.3918
10 1.70091 1.63303 15.1328
11 0.0460519 66.9234 16.7681
12 1.74391 1.70994 18.4689
13 0.0481499 0.0128446 20.0796
14 1.7138 1.71613 21.7649
15 0.156829 66.9927 23.5435
16 1.82458 1.70706 25.1347
17 0.0951874 66.9475 26.7815
18 1.71513 1.65314 28.5042
19 66.9813 66.8789 30.1394
20 1.64287 1.64659 31.7673
21 0.0177566 66.8836 33.5359
22 1.66999 1.68237 35.1933
23 66.9641 66.9773 36.805
24 1.67517 1.67043 38.4945
25 66.9897 0.00317341 40.206
26 1.70297 1.66512 41.8994
27 66.9472 0.010244 43.5572
28 1.7782 1.63793 45.2602
29 66.9645 0.00434409 46.8878
30 1.69556 1.67847 48.5535
31 66.9896 0.0015108 50.2393
32 1.67435 1.65865 51.9978
33 0.093602 66.9454 53.6727
34 1.74958 1.66164 55.3252
35 66.994 66.9605 56.9451
36 1.70753 1.55995 58.5277
37 0.0571414 66.9619 60.3376
38 1.64759 1.69407 62.003
39 66.9996 66.982 63.6166
40 1.6945 1.70288 65.2902
41 0.0142561 3.40002 66.9987
42 1.69643 5.03572 1.66367
43 66.9631 3.38817 3.30767
44 1.5762 4.98514 4.93466
45 0.0367866 3.19187 6.71707
46 1.63414 4.98224 8.40665
47 66.9471 3.37229 9.96847
48 1.71042 5.02771 11.7253
49 0.0385061 3.32747 13.379
50 1.67143 5.06897 15.0825
51 0.0732709 3.36013 16.8461
52 1.7532 4.96688 18.4478
53 0.0219345 3.33292 20.0727
54 1.6859 4.97814 21.7333
55 0.0749142 3.35913 23.5448
56 1.72196 5.01043 25.1118
57 0.0740505 3.34418 26.7847
58 1.75875 4.99821 28.4507
59 66.9974 3.4259 30.1321
60 1.7116 5.08657 31.8124
61 66.9797 3.40674 33.4654
62 1.65719 5.0016 35.1928
63 0.00715836 3.34193 36.8484
64 1.73008 5.01001 38.4574
65 0.0504407 3.34708 40.2164
66 1.70519 5.01345 41.8949
