ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.7799999999999997e+01
0.0000000000000000e+00 6.7799999999999997e+01
0.0000000000000000e+00 6.7799999999999997e+01
ITEM: ATOMS id x y z
1 0.00515523 0.123576 67.7797
2 1.73018 1.6807 1.74269
3 67.7714 0.0244588 3.42355
4 1.75344 1.72971 5.12316
5 0.00701427 0.0564649 6.74383
6 1.84339 1.76643 8.40585
7 0.0481998 0.0629174 10.0712
8 1.74956 1.74867 11.815
9 0.136352 67.7689 13.5624
10 1.66607 1.70673 15.2031
11 0.0409758 0.0806411 17.0102
12 1.69791 1.72048 18.6541
13 0.0547647 67.7369 20.3128
14 1.69215 1.74234 22.0491
15 0.00560697 0.0264943 23.764
16 1.77631 1.73081 25.3984
17 0.0674313 0.0578403 27.1216
18 1.79441 1.72459 28.8431
19 0.0364527 0.0367661 30.4553
20 1.68093 1.65886 32.1835
21 67.765 0.028207 33.966
22 1.6578 1.73242 35.5694
23 0.0387533 0.0519265 37.385
24 1.74021 1.73242 39.0704
25 0.0273006 67.7969 40.7643
26 1.74187 1.73814 42.4136
27 0.00106897 67.7657 44.0553
28 1.62765 1.71667 45.7368
29 67.748 67.7457 47.4589
30 1.64448 1.73957 49.1634
31 67.7514 67.7279 50.8259
32 1.63428 1.65447 52.5457
33 67.795 67.7392 54.233
34 1.68967 1.63411 55.9509
35 67.757 0.0360682 57.6834
36 1.75745 1.70917 59.3637
37 67.7827 67.7714 61.0124
38 1.78781 1.70117 62.6827
39 0.0326441 0.00907825 64.4014
40 1.68525 1.73839 66.0898
41 67.7908 3.38263 67.7647
42 1.69263 5.04625 1.72571
43 0.00738827 3.38416 3.40837
44 1.69023 5.06963 5.12048
45 67.7889 3.34446 6.8233
46 1.74618 5.10235 8.44428
47 0.162747 3.42323 10.0961
48 1.75264 5.09828 11.8581
49 0.114601 3.46566 13.522
50 1.72165 5.11189 15.172
51 0.0246223 3.40963 16.9484
52 1.66662 5.11315 18.6649
53 67.7817 3.43243 20.3702
54 1.64056 5.06662 22.041
55 67.6741 3.44809 23.7433
56 1.6625 5.11833 25.3703
57 67.7843 3.44302 27.1528
58 1.70668 5.10295 28.8817
59 67.7862 3.41355 30.5093
60 1.68714 5.12285 32.227
61 0.0569143 3.37257 33.8628
62 1.70432 5.08235 35.5803
63 67.7724 3.3729 37.3195
64 1.71394 5.12461 39.0572
65 67.795 3.35938 40.7788
66 1.67462 5.11911 42.4194
