ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.8600000000000009e+01
0.0000000000000000e+00 6.8600000000000009e+01
0.0000000000000000e+00 6.8600000000000009e+01
ITEM: ATOMS id x y z
1 0.0588245 68.5852 68.5875
2 1.75129 1.64773 1.82218
3 0.0604846 68.5595 3.5606
4 1.69681 1.64781 5.23945
5 0.0409572 0.00548568 6.86489
6 1.67406 1.53387 8.54054
7 0.0422976 0.0069865 10.2604
8 1.69693 1.72564 11.9994
9 68.5791 68.5299 13.6151
10 1.65772 1.76205 15.3643
11 0.0193981 0.00262817 17.1807
12 1.69129 1.72337 18.9474
13 0.0243833 0.00570615 20.584
14 1.74803 1.65638 22.3421
15 0.0470296 68.5653 24.0068
16 1.7381 1.65377 25.7771
17 0.0363261 0.017483 27.4685
18 1.7173 1.68085 29.1382
19 0.0414591 68.5778 30.8191
20 1.75958 1.59824 32.5058
21 0.104031 68.5317 34.174
22 1.72384 1.69688 35.9895
23 0.0574081 68.5672 37.7062
24 1.7685 1.61738 39.4344
25 0.012823 0.0183971 41.113
26 1.67129 1.72987 42.8752
27 0.0982 68.5633 44.645
28 1.74053 1.73126 46.383
29 0.0259288 0.0073767 48.0102
30 1.76343 1.72032 49.7045
31 0.137653 68.5831 51.4359
32 1.77003 1.68869 53.2454
33 68.5965 68.5314 54.9935
34 1.91164 1.65475 56.5574
35 68.5454 68.5394 58.2032
36 1.72092 1.62852 60.0676
37 68.5017 0.000646154 61.749
38 1.76111 1.62777 63.4234
39 68.5184 68.5982 65.1995
40 1.72938 1.67393 66.791
41 0.070292 3.34992 68.5858
42 1.73664 5.07897 1.77
43 0.0456317 3.34615 3.5247
44 1.75356 5.10764 5.18999
45 68.5786 3.34812 6.87059
46 1.68091 5.16739 8.50364
47 0.0393721 3.41134 10.2496
48 1.71032 5.1367 12.0525
49 68.5196 3.5583 13.7646
50 1.64549 5.1305 15.4871
51 68.5455 3.4818 17.1352
52 1.60392 5.12118 18.861
53 68.5205 3.38094 20.5367
54 1.69102 5.1276 22.3018
55 0.0683349 3.40617 24.0666
56 1.76455 5.17495 25.7413
57 0.038 3.39576 27.4831
58 1.74189 5.1475 29.1384
59 0.00247774 3.35515 30.8136
60 1.67975 5.13403 32.543
61 68.5631 3.40362 34.2503
62 1.67362 5.12565 36.0216
63 68.5491 3.41786 37.7305
64 1.63309 5.21075 39.4417
65 0.0166846 3.45244 41.147
66 1.69152 5.19108 42.8207
