ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.6599999999999994e+01
0.0000000000000000e+00 6.6599999999999994e+01
0.0000000000000000e+00 6.6599999999999994e+01
ITEM: ATOMS id x y z
1 0.00193856 0.00865611 66.5898
2 1.7001 1.60568 1.69639
3 0.0367519 0.000879102 3.41841
4 1.56089 1.60237 5.0553
5 0.00116689 66.5375 6.71168
6 1.63218 1.60011 8.33476
7 0.0071991 66.4982 9.94413
8 1.63646 1.64208 11.696
9 66.5834 66.5925 13.2868
10 1.65878 1.68431 14.9354
11 66.5776 0.0142322 16.6412
12 1.67019 1.67201 18.3682
13 0.0214139 0.0179809 20.0284
14 1.6346 1.71332 21.6677
15 66.5809 66.5854 23.2997
16 1.58412 1.64306 25.0028
17 66.5794 66.5771 26.6677
18 1.66418 1.59814 28.3184
19 0.0147314 66.5771 29.8953
20 1.6781 1.69631 31.6037
21 66.5814 0.00834965 33.2392
22 1.64089 1.70264 34.962
23 66.5292 0.022194 36.5932
24 1.7154 1.65075 38.3062
25 66.5743 0.0342024 40.0142
26 1.68291 1.67777 41.6333
27 0.0590145 66.5618 43.2792
28 1.67457 1.66188 44.9379
29 0.0631303 0.0514471 46.6258
30 1.73081 1.64463 48.2977
31 0.0713355 0.0075031 49.9177
32 1.66208 1.69635 51.6622
33 0.0190937 0.0683797 53.2417
34 1.63238 1.71416 54.875
35 0.0237265 0.0669123 56.6123
36 1.61133 1.70455 58.3152
37 66.5633 66.5829 59.8857
38 1.65216 1.66648 61.604
39 0.033074 0.00811767 63.329
40 1.69868 1.67057 64.9042
41 0.0156759 3.35729 0.0187753
42 1.72575 5.05709 1.70882
43 0.0311905 3.33489 3.40317
44 1.74463 5.07869 4.98064
45 66.5771 3.36944 6.66859
46 1.70344 5.10826 8.36542
47 66.5991 3.32887 9.94703
48 1.61983 5.01819 11.5688
49 66.5829 3.31964 13.2929
50 1.61126 5.01116 15.0244
51 66.5474 3.27345 16.6286
52 1.62759 5.02217 18.2885
53 66.5685 3.34769 19.9904
54 1.63119 5.02362 21.647
55 0.00194559 3.33987 23.3015
56 1.65701 5.12707 24.9953
57 0.0446576 3.39485 26.6968
58 1.69021 5.09204 28.3278
59 66.5995 3.38474 29.908
60 1.63743 5.04858 31.63
61 66.5931 3.34977 33.2862
62 1.69064 5.04479 34.9476
63 66.5304 3.3483 36.6507
64 1.72976 4.96432 38.2999
65 66.4973 3.31335 39.9407
66 1.68281 4.93039 41.6644
