ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.6200000000000003e+01
0.0000000000000000e+00 6.6200000000000003e+01
0.0000000000000000e+00 6.6200000000000003e+01
ITEM: ATOMS id x y z
1 0.0531314 0.00815463 0.00198001
2 1.64087 1.61432 1.66372
3 0.0185383 66.1171 3.36434
4 1.70182 1.6261 4.93917
5 66.182 66.1828 6.65528
6 1.66717 1.64911 8.40488
7 66.1806 0.0932977 10.0173
8 1.68655 1.68677 11.5815
9 0.08013 0.0677543 13.115
10 1.60551 1.68795 14.8767
11 66.1967 0.0465102 16.5611
12 1.63459 1.64786 18.194
13 66.1889 0.0931969 19.8528
14 1.64525 1.6643 21.4801
15 0.0140549 0.0571043 23.0557
16 1.6672 1.63828 24.7617
17 0.020359 0.0842353 26.4848
18 1.76594 1.70772 28.1464
19 0.0553866 0.0599499 29.7103
20 1.80127 1.66224 31.4726
21 0.058071 0.0505128 33.1629
22 1.73657 1.71441 34.7803
23 0.00862155 0.051479 36.4385
24 1.67046 1.69424 37.959
25 0.0595366 0.0863336 39.6495
26 1.61608 1.70591 41.3597
27 66.1932 0.052222 43.0227
28 1.63526 1.64849 44.7046
29 0.0050921 0.0703516 46.3441
30 1.68384 1.62635 48.0145
31 66.1318 0.0367272 49.6602
32 1.65542 1.67861 51.2834
33 66.1548 66.1616 53.0031
34 1.64596 1.63826 54.7066
35 66.1976 66.1927 56.4
36 1.66787 1.79645 57.9492
37 0.0161882 0.0327508 59.3892
38 1.62193 1.7488 61.1913
39 66.1858 0.00539216 62.926
40 1.59435 1.68387 64.5053
41 66.1889 3.36351 66.1623
42 1.73363 5.02427 1.60157
43 0.0303378 3.37196 3.32791
44 1.73914 4.92056 4.91532
45 0.0519678 3.34629 6.65987
46 1.72768 4.98898 8.3623
47 0.0391383 3.25531 9.96532
48 1.65148 4.92636 11.5852
49 0.0214163 3.34025 13.1893
50 1.62751 4.88943 14.8924
51 0.0275201 3.32982 16.6171
52 1.68111 4.92306 18.2181
53 0.0138756 3.25984 19.8665
54 1.65958 4.98583 21.5355
55 66.181 3.25172 23.1053
56 1.60932 4.95888 24.8333
57 0.00305398 3.2519 26.4592
58 1.65952 4.88403 28.1195
59 0.0989764 3.34672 29.8157
60 1.68507 4.96896 31.5097
61 0.0427318 3.39256 33.1188
62 1.67434 4.96577 34.7606
63 66.1747 3.36292 36.4222
64 1.73749 4.92913 38.0341
65 0.0197977 3.30125 39.6653
66 1.60437 4.93758 41.3664
